咪咕央视,#genre#
盐城新闻综合,http://4kkj.cn/php/migu720p.php?id=639731825
淮安新闻综合,http://4kkj.cn/php/migu720p.php?id=639731826
泰州新闻综合,http://4kkj.cn/php/migu720p.php?id=639731818
连云港新闻综合,http://4kkj.cn/php/migu720p.php?id=639731715
宿迁新闻综合,http://4kkj.cn/php/migu720p.php?id=639731832
徐州新闻综合,http://4kkj.cn/php/migu720p.php?id=639731747
优漫卡通频道,http://4kkj.cn/php/migu720p.php?id=626064703
江阴新闻综合,http://4kkj.cn/php/migu720p.php?id=955227979
南通新闻综合,http://4kkj.cn/php/migu720p.php?id=955227985
宜兴新闻综合,http://4kkj.cn/php/migu720p.php?id=955227996
溧水新闻综合,http://4kkj.cn/php/migu720p.php?id=639737327
陕西银龄频道,http://4kkj.cn/php/migu720p.php?id=956909362
陕西都市青春频道,http://4kkj.cn/php/migu720p.php?id=956909358
陕西体育休闲频道,http://4kkj.cn/php/migu720p.php?id=956909356
陕西秦腔频道,http://4kkj.cn/php/migu720p.php?id=956909303
陕西新闻资讯频道,http://4kkj.cn/php/migu720p.php?id=956909289
财富天下,http://4kkj.cn/php/migu720p.php?id=956923159
经典香港电影,http://4kkj.cn/php/migu720p.php?id=625703337
抗战经典影片,http://4kkj.cn/php/migu720p.php?id=617432318
新片放映厅,http://4kkj.cn/php/migu720p.php?id=619495952
CHC影迷电影,http://4kkj.cn/php/migu720p.php?id=952383261
和美乡途轮播台,http://4kkj.cn/php/migu720p.php?id=713591450
高清大片,http://4kkj.cn/php/migu720p.php?id=629943678
南方影视,http://4kkj.cn/php/migu720p.php?id=614961829
血色山河·抗日战争影像志,http://4kkj.cn/php/migu720p.php?id=713600957
熊猫频道01高清,http://4kkj.cn/php/migu720p.php?id=609158151
熊猫频道1,http://4kkj.cn/php/migu720p.php?id=608933610
熊猫频道2,http://4kkj.cn/php/migu720p.php?id=608933640
熊猫频道3,http://4kkj.cn/php/migu720p.php?id=608934619
熊猫频道4,http://4kkj.cn/php/migu720p.php?id=608934721
熊猫频道5,http://4kkj.cn/php/migu720p.php?id=608935104
熊猫频道6,http://4kkj.cn/php/migu720p.php?id=608935797
熊猫频道7,http://4kkj.cn/php/migu720p.php?id=609169286
熊猫频道8,http://4kkj.cn/php/migu720p.php?id=609169287
熊猫频道9,http://4kkj.cn/php/migu720p.php?id=609169226
熊猫频道10,http://4kkj.cn/php/migu720p.php?id=609169285
最强综艺趴,http://4kkj.cn/php/migu720p.php?id=629942228
嘉佳卡通,http://4kkj.cn/php/migu720p.php?id=614952364
经典动画大集合,http://4kkj.cn/php/migu720p.php?id=629942219
新动力量创一流,http://4kkj.cn/php/migu720p.php?id=713589837
环球旅游,http://4kkj.cn/php/migu720p.php?id=958475356
钱塘江,http://4kkj.cn/php/migu720p.php?id=647370520
五环传奇,http://4kkj.cn/php/migu720p.php?id=707671890
赛事最经典,http://4kkj.cn/php/migu720p.php?id=646596895
掼蛋精英赛,http://4kkj.cn/php/migu720p.php?id=631354620
体坛名栏汇,http://4kkj.cn/php/migu720p.php?id=629943305
四海钓鱼,http://4kkj.cn/php/migu720p.php?id=637444975
咪咕24小时体育台,http://4kkj.cn/php/migu720p.php?id=654102378
24小时城市联赛轮播台,http://4kkj.cn/php/migu720p.php?id=915512915
武术世界,http://4kkj.cn/php/migu720p.php?id=958475359
CETV1,http://4kkj.cn/php/migu720p.php?id=923287154
CETV2,http://4kkj.cn/php/migu720p.php?id=923287211
CETV4,http://4kkj.cn/php/migu720p.php?id=923287339
山东教育,http://4kkj.cn/php/migu720p.php?id=609154353

咪咕电视1,#genre#


CCTV1,http://107.150.60.122/live/cctv1hd.m3u8
CCTV2,http://107.150.60.122/live/cctv2hd.m3u8
CCTV3,http://107.150.60.122/live/cctv3hd.m3u8
CCTV4,http://107.150.60.122/live/cctv4hd.m3u8
CCTV5,http://107.150.60.122/live/cctv5hd.m3u8
CCTV6,http://107.150.60.122/live/cctv6hd.m3u8
CCTV7,http://107.150.60.122/live/cctv7hd.m3u8
CCTV8,http://107.150.60.122/live/cctv8hd.m3u8
CCTV9,http://107.150.60.122/live/cctv9hd.m3u8
CCTV10,http://107.150.60.122/live/cctv10hd.m3u8
CCTV11,http://107.150.60.122/live/cctv11hd.m3u8
CCTV12,http://107.150.60.122/live/cctv12hd.m3u8
CCTV13,http://107.150.60.122/live/cctv13hd.m3u8
CCTV14,http://107.150.60.122/live/cctv14hd.m3u8
CCTV15,http://107.150.60.122/live/cctv15hd.m3u8
CCTV16,http://107.150.60.122/live/cctv16hd.m3u8
CCTV17,http://107.150.60.122/live/cctv17hd.m3u8
CGTN英语,http://english-livetx.cgtn.com/hls/yypdyyctzb_hd.m3u8
CGTN记录,https://english-livetx.cgtn.com/hls/yypdjlctzb_hd.m3u8
央视台球,http://107.150.60.122/live/ystq.m3u8
五星体育,http://107.150.60.122/live/wxtyhd.m3u8
高尔夫网球,http://107.150.60.122/live/gefwq.m3u8
风云足球,http://107.150.60.122/live/fyzq.m3u8
世界地理,http://107.150.60.122/live/sjdl.m3u8
风云音乐,http://107.150.60.122/live/fyyy.m3u8
三沙卫视,http://107.150.60.122/live/ssws.m3u8
东南卫视,http://107.150.60.122/live/dnwshd.m3u8
东方卫视,http://107.150.60.122/live/dfwshd.m3u8
云南卫视,http://107.150.60.122/live/ynwshd.m3u8
北京卫视,http://107.150.60.122/live/bjwshd.m3u8
吉林卫视,http://107.150.60.122/live/jlwshd.m3u8
四川卫视,http://107.150.60.122/live/scwshd.m3u8
天津卫视,http://107.150.60.122/live/tjwshd.m3u8
安徽卫视,http://107.150.60.122/live/ahwshd.m3u8
山东卫视,http://107.150.60.122/live/sdwshd.m3u8
广西卫视,http://107.150.60.122/live/gxwshd.m3u8
广东卫视,http://107.150.60.122/live/gdwshd.m3u8
江苏卫视,http://107.150.60.122/live/jswshd.m3u8
江西卫视,http://107.150.60.122/live/jxwshd.m3u8
山西卫视,http://107.150.60.122/live/sxwshd.m3u8
河北卫视,http://107.150.60.122/live/hewshd.m3u8
河南卫视,http://107.150.60.122/live/hawshd.m3u8
浙江卫视,http://107.150.60.122/live/zjwshd.m3u8
深圳卫视,http://107.150.60.122/live/szwshd.m3u8
湖北卫视,http://107.150.60.122/live/hbwshd.m3u8
湖南卫视,http://107.150.60.122/live/hnwshd.m3u8
甘肃卫视,http://107.150.60.122/live/gswshd.m3u8
西藏卫视,http://107.150.60.122/live/xzws.m3u8
贵州卫视,http://107.150.60.122/live/gzwshd.m3u8
辽宁卫视,http://107.150.60.122/live/lnwshd.m3u8
重庆卫视,http://107.150.60.122/live/cqwshd.m3u8
陕西卫视,http://107.150.60.122/live/snwshd.m3u8
青海卫视,http://107.150.60.122/live/qhwshd.m3u8
黑龙江卫视,http://107.150.60.122/live/hljwshd.m3u8
宁夏卫视,http://107.150.60.122/live/nxws.m3u8
新疆卫视,http://107.150.60.122/live/xjws.m3u8
厦门卫视,http://107.150.60.122/live/xmws.m3u8
兵团卫视,http://107.150.60.122/live/btws.m3u8
大湾区卫视,http://107.150.60.122/live/nfws.m3u8
CHC动作电影,http://107.150.60.122/live/chcdz.m3u8
CHC家庭影院,http://107.150.60.122/live/chcjt.m3u8
CHC影迷电影,http://107.150.60.122/live/chchd.m3u8
邵氏电影,http://107.150.60.122/live/lbssdy.m3u8
邵氏动作,http://107.150.60.122/live/lbssdz.m3u8
邵氏喜剧,http://107.150.60.122/live/lbssxj.m3u8
欢笑剧场,http://107.150.60.122/live/hxjchd.m3u8
都市剧场,http://107.150.60.122/live/dsjchd.m3u8
怀旧剧场,http://107.150.60.122/live/hjjc.m3u8
重温经典,http://107.150.60.122/live/cwjd.m3u8

咪咕移动,#genre#

CCTV1,http://103.163.47.120:555/mg.php?id=608807420&token=MYTOKEN666888
CCTV2,http://103.163.47.120:555/mg.php?id=631780532&token=MYTOKEN666888
CCTV3,http://103.163.47.120:555/mg.php?id=624878271&token=MYTOKEN666888
CCTV4,http://103.163.47.120:555/mg.php?id=631780421&token=MYTOKEN666888
CCTV5,http://103.163.47.120:555/mg.php?id=641886683&token=MYTOKEN666888
CCTV5+,http://103.163.47.120:555/mg.php?id=641886773&token=MYTOKEN666888
CCTV6,http://103.163.47.120:555/mg.php?id=624878396&token=MYTOKEN666888
CCTV7,http://103.163.47.120:555/mg.php?id=673168121&token=MYTOKEN666888
CCTV8,http://103.163.47.120:555/mg.php?id=624878356&token=MYTOKEN666888
CCTV9,http://103.163.47.120:555/mg.php?id=673168140&token=MYTOKEN666888
CCTV10,http://103.163.47.120:555/mg.php?id=624878405&token=MYTOKEN666888
CCTV11,http://103.163.47.120:555/mg.php?id=667987558&token=MYTOKEN666888
CCTV12,http://103.163.47.120:555/mg.php?id=673168185&token=MYTOKEN666888
CCTV13,http://103.163.47.120:555/mg.php?id=608807423&token=MYTOKEN666888
CCTV14,http://103.163.47.120:555/mg.php?id=624878440&token=MYTOKEN666888
CCTV15,http://103.163.47.120:555/mg.php?id=673168223&token=MYTOKEN666888
CCTV17,http://103.163.47.120:555/mg.php?id=673168256&token=MYTOKEN666888
CCTV4欧洲,http://103.163.47.120:555/mg.php?id=608807419&token=MYTOKEN666888
CCTV4美洲,http://103.163.47.120:555/mg.php?id=608807416&token=MYTOKEN666888
CGTN,http://103.163.47.120:555/mg.php?id=609017205&token=MYTOKEN666888
CGTN纪录,http://103.163.47.120:555/mg.php?id=609006487&token=MYTOKEN666888
CGTN阿拉伯语,http://103.163.47.120:555/mg.php?id=609154345&token=MYTOKEN666888
CGTN西班牙语,http://103.163.47.120:555/mg.php?id=609006450&token=MYTOKEN666888
CGTN法语,http://103.163.47.120:555/mg.php?id=609006476&token=MYTOKEN666888
CGTN俄语,http://103.163.47.120:555/mg.php?id=609006446&token=MYTOKEN666888
老故事,http://103.163.47.120:555/mg.php?id=884121956&token=MYTOKEN666888
发现之旅,http://103.163.47.120:555/mg.php?id=624878970&token=MYTOKEN666888
中学生,http://103.163.47.120:555/mg.php?id=708869532&token=MYTOKEN666888
东方卫视,http://103.163.47.120:555/mg.php?id=651632648&token=MYTOKEN666888
江苏卫视,http://103.163.47.120:555/mg.php?id=623899368&token=MYTOKEN666888
广东卫视,http://103.163.47.120:555/mg.php?id=608831231&token=MYTOKEN666888
江西卫视,http://103.163.47.120:555/mg.php?id=783847495&token=MYTOKEN666888
北京卫视,http://103.163.47.120:555/mg.php?id=630287636&token=MYTOKEN666888
陕西卫视,http://103.163.47.120:555/mg.php?id=738910838&token=MYTOKEN666888
大湾区卫视,http://103.163.47.120:555/mg.php?id=608917627&token=MYTOKEN666888
河南卫视,http://103.163.47.120:555/mg.php?id=790187291&token=MYTOKEN666888
湖北卫视,http://103.163.47.120:555/mg.php?id=947472496&token=MYTOKEN666888
吉林卫视,http://103.163.47.120:555/mg.php?id=947472500&token=MYTOKEN666888
青海卫视,http://103.163.47.120:555/mg.php?id=947472506&token=MYTOKEN666888
海南卫视,http://103.163.47.120:555/mg.php?id=947472502&token=MYTOKEN666888
宁夏卫视,http://103.163.47.120:555/mg.php?id=738910535&token=MYTOKEN666888
中国农林卫视,http://103.163.47.120:555/mg.php?id=956904896&token=MYTOKEN666888
兵团卫视,http://103.163.47.120:555/mg.php?id=956923145&token=MYTOKEN666888
辽宁卫视,http://103.163.47.120:555/mg.php?id=630291707&token=MYTOKEN666888
东南卫视,http://103.163.47.120:555/mg.php?id=849116810&token=MYTOKEN666888
CHC动作电影,http://103.163.47.120:555/mg.php?id=644368714&token=MYTOKEN666888
CHC家庭影院,http://103.163.47.120:555/mg.php?id=644368373&token=MYTOKEN666888
CHC影迷电影,http://103.163.47.120:555/mg.php?id=952383261&token=MYTOKEN666888
华语大片影院,http://103.163.47.120:555/mg.php?id=619495952&token=MYTOKEN666888
老故事,http://103.163.47.120:555/mg.php?id=884121956&token=MYTOKEN666888
发现之旅,http://103.163.47.120:555/mg.php?id=624878970&token=MYTOKEN666888
中学生,http://103.163.47.120:555/mg.php?id=708869532&token=MYTOKEN666888
嘉佳卡通,http://103.163.47.120:555/mg.php?id=614952364&token=MYTOKEN666888
陕西银龄,http://103.163.47.120:555/mg.php?id=956909362&token=MYTOKEN666888
陕西秦腔,http://103.163.47.120:555/mg.php?id=956909303&token=MYTOKEN666888
陕西体育休闲,http://103.163.47.120:555/mg.php?id=956909356&token=MYTOKEN666888
辽宁体育休闲,http://103.163.47.120:555/mg.php?id=962067526&token=MYTOKEN666888
辽宁公共频道,http://103.163.47.120:555/mg.php?id=962045223&token=MYTOKEN666888
辽宁生活频道,http://103.163.47.120:555/mg.php?id=962045226&token=MYTOKEN666888
辽宁影视剧频道,http://103.163.47.120:555/mg.php?id=962067517&token=MYTOKEN666888
宁夏文旅频道,http://103.163.47.120:555/mg.php?id=962067523&token=MYTOKEN666888

風雲試看港澳頻道,#genre#

鳳凰中文,http://iptv.4666888.xyz/iptv2A.php?id=27
TVB黃金華劇,http://iptv.4666888.xyz/iptv2A.php?id=34
TVB翡翠(馬來),http://iptv.4666888.xyz/iptv2A.php?id=28
TVB明珠,http://iptv.4666888.xyz/iptv2A.php?id=29
TVBJ1,http://iptv.4666888.xyz/iptv2A.php?id=26
TVB1,http://iptv.4666888.xyz/iptv2A.php?id=25
千禧經典,http://iptv.4666888.xyz/iptv2A.php?id=22
HOY77,http://iptv.4666888.xyz/iptv2A.php?id=35
TVB-獎門人,http://iptv.4666888.xyz/iptv2A.php?id=31
TVB-金曲,http://iptv.4666888.xyz/iptv2A.php?id=57
RTHK31,http://iptv.4666888.xyz/iptv2A.php?id=23
TVB娛樂新聞,http://iptv.4666888.xyz/iptv2A.php?id=36
MYTV黃金翡翠,http://iptv.4666888.xyz/iptv2A.php?id=32
TVB翡翠劇集,http://iptv.4666888.xyz/iptv2A.php?id=33
澳視澳門,http://iptv.4666888.xyz/iptv2A.php?id=41
中國電影,http://iptv.4666888.xyz/iptv2A.php?id=61

風雲試看臺灣頻道,#genre#
TVBS新聞,http://iptv.4666888.xyz/iptv2A.php?id=43
非凡新聞,http://iptv.4666888.xyz/iptv2A.php?id=44
民視,http://iptv.4666888.xyz/iptv2A.php?id=55
華藝中文,http://iptv.4666888.xyz/iptv2A.php?id=37
愛奇藝,http://iptv.4666888.xyz/iptv2A.php?id=21
靖洋戲劇,http://iptv.4666888.xyz/iptv2A.php?id=42
靖天電影,http://iptv.4666888.xyz/iptv2A.php?id=56
東森電影,http://iptv.4666888.xyz/iptv2A.php?id=48
緯來電影,http://iptv.4666888.xyz/iptv2A.php?id=54
龍華電影,http://iptv.4666888.xyz/iptv2A.php?id=45
龍華洋片,http://iptv.4666888.xyz/iptv2A.php?id=60
風雲恐怖電影,http://iptv.4666888.xyz/iptv2A.php?id=59
ROCK_Action,http://iptv.4666888.xyz/iptv2A.php?id=50
梦工场动漫,http://iptv.4666888.xyz/iptv2A.php?id=40
Duck TV兒童卡通,http://iptv.4666888.xyz/iptv2A.php?id=39
MOMO親子,http://iptv.4666888.xyz/iptv2A.php?id=49
金光布袋戲,http://iptv.4666888.xyz/iptv2A.php?id=38
民視綜藝,http://iptv.4666888.xyz/iptv2A.php?id=46
民視影劇,http://iptv.4666888.xyz/iptv2A.php?id=53
TVBS精采,http://iptv.4666888.xyz/iptv2A.php?id=47
臺視綜合,http://iptv.4666888.xyz/iptv2A.php?id=51
東森綜合2,http://iptv.4666888.xyz/iptv2A.php?id=58
八度空間,http://iptv.4666888.xyz/iptv2A.php?id=52
韓流美食料理秀,http://iptv.4666888.xyz/iptv2A.php?id=63
娛樂百分百,http://iptv.4666888.xyz/iptv2A.php?id=64
綜藝大贏家,http://iptv.4666888.xyz/iptv2A.php?id=65
